"unique_values"
"amp-1"
"amp-11"
"amp-4"
"amp-7"
"amp-uni"
"crb-1"
"crb-6"
"egg-2"
"egg-3"
"fsh-19"
"fsh-2"
"fsh-3"
"fsh-juv"
"gob-uni"
"iso-4"
"par-2"
"poly-1"
"shmp-1"
"shmp-2"
"shmp-7"
"shmp-uni"
"fsh-4"
"iso-1"
"iso-8"
"poly-uni"
"par-3"
"biv-2"
"blen-juv"
"bug-2"
"fsh-6"
"fsh-7"
"gast-1"
"egg-1"
"nem-1"
"shmp-6"
"mus-1"
"wtf-4"
"fsh-10"
"fsh-1"
"wtf-7"
"biv-3"
"crb-7"
"fsh-8"
"fsh-uni"
"oph-1"
"biv-4"
"fsh-20"
"wtf-6"
"fsh-18"
"fsh-13"
"fsh-15"
"biv-1"
"poly-8"
"shmp-8"
"fsh-9"
"mus-3"
"wtf-9"
